Species,Sex,SVL,headl,headW,headh,lower jawl,tip-quadr,tip-coron,opening,closing,SVL_w,headl_w,headW_w,headh_w,lower jawl_w,tip-quadr_w,tip-coron_w,opening_w,closing_w,DM_muscle_mass,LAO_muscle_mass,AMESA_muscle_mass,AMESP_muscle_mass,AMEM_muscle_mass,AMEP_muscle_mass,AMP_muscle_mass,PSTS_muscle_mass,PSTP_muscle_mass,PTL_muscle_mass,PTM_muscle_mass,LPT_muscle_mass,PPT_muscle_mass,CM_muscle_mass,DM_fiber_length,LAO_fiber_length,AMESA_fiber_length,AMESP_fiber_length,AMEM_fiber_length,AMEP_fiber_length,AMP_fiber_length,PSTS_fiber_length,PSTP_fiber_length,PTL_fiber_length,PTM_fiber_length,LPT_fiber_length,PPT_fiber_length,DM_physiological_cross_sectional_area,LAO_physiological_cross_sectional_area,AMESA_physiological_cross_sectional_area,AMESP_physiological_cross_sectional_area,AMEM_physiological_cross_sectional_area,AMEP_physiological_cross_sectional_area,AMP_physiological_cross_sectional_area,PSTS_physiological_cross_sectional_area,PSTP_physiological_cross_sectional_area,PTL_physiological_cross_sectional_area,PTM_physiological_cross_sectional_area,LPT_physiological_cross_sectional_area,PPT_physiological_cross_sectional_area,CM_physiological_cross_sectional_area
A. frenatus,female,88.89,22.67,13.85,11.45,24.59,22.07,15.35,2.52,6.72,73.88,19.96,11.5,9.53,20.45,18.73,15.66,1.72,3.08,6.60,0.80,29.10,7.00,15.00,2.00,2.10,5.60,4.80,9.00,5.30,0.60,1.90,5.10,0.525,0.291,0.414,0.285,0.314,0.373,0.237,0.385,0.286,0.251,0.179,0.176,0.261,1.33,0.29,7.46,2.6,5.06,0.57,0.94,1.54,1.78,3.81,3.14,0.36,0.77,0.83
A. chloris,female,42.32,11.54,6.64 ,5.48 ,12.36 ,10.86 ,8.49 ,1.50,2.37,52.55,13.6,7.48,5.42,13.52,12.69,10.52,0.83,2.17,0.85,0.10,2.00,0.40,1.20,0.30,0.15,0.50,0.30,0.80,0.40,0.10,0.10,0.10,0.294,0.157,0.215,0.170,0.237,0.236,0.169,0.217,0.164,0.145,0.112,0.108,0.129,0.34,0.07,0.99,0.24,0.54,0.14,0.09,0.24,0.2,0.59,0.38,0.1,0.08,0.03
A. oxylophus,female,47.43,13.06,7.67,6.27,13.06,12.78,10.26,0.28,2.52,55.28,13.82,7.7,6.26,14,12.98,10.65,1.02,2.33,1.27,0.27,4.73,0.80,3.00,0.43,0.47,1.03,0.80,2.00,1.13,0.13,0.47,0.20,0.421,0.206,0.293,0.199,0.311,0.333,0.192,0.295,0.221,0.176,0.135,0.127,0.152,0.32,0.13,1.73,0.42,1.02,0.14,0.26,0.37,0.38,1.25,0.88,0.11,0.33,0.05
A. auratus,female,46.17,11.36,6.36,5.89,12.09,11.22,9.03,0.87,2.18,46.03,11.81,6.13,4.85,11.89,10.93,9.03,0.95,1.91,0.70,0.15,3.65,0.55,1.42,0.40,0.25,0.60,0.60,1.30,0.60,0.15,0.25,0.25,0.330,0.171,0.228,0.137,0.267,0.228,0.124,0.230,0.168,0.144,0.088,0.125,0.118,0.24,0.09,1.69,0.42,0.55,0.19,0.22,0.27,0.38,0.96,0.73,0.12,0.2,0.08
A. humilis,female,33.79,8.26,6.24,4.64,10.70,9.80,7.72,0.90,2.09,35.16,10.33,5.64,4.32,10.32,9.54,7.92,0.78,1.63,0.70,0.13,1.99,0.43,2.03,0.43,0.27,0.50,0.50,0.83,0.47,0.13,0.13,0.65,0.346,0.197,0.240,0.184,0.247,0.269,0.154,0.215,0.195,0.138,0.117,0.116,0.133,0.21,0.07,0.93,0.24,0.87,0.17,0.19,0.25,0.28,0.64,0.42,0.12,0.11,0.17
A. heterodermus,female,65.58,18.15,10.66,8.68,19.01,17.75,14.84,1.26,2.91,70.74,19.78,9.85,8.74,19.24,17.97,14.48,1.28,3.48,2.70,1.20,8.10,1.50,6.20,0.70,0.90,2.00,2.30,3.80,4.00,0.10,0.20,1.70,0.477,0.211,0.256,0.197,0.281,0.288,0.150,0.292,0.272,0.184,0.145,0.096,0.148,0.6,0.6,3.36,0.81,2.34,0.26,0.64,0.73,0.9,2.19,2.93,0.11,0.14,0.41
A. limifrons,female,34.78,10.87,5.67,5.32,10.70,9.54,8.43,1.16,1.11,39.24,10.89,5.56,4.24,10.64,9.9,8.42,0.74,1.48,0.50,0.10,1.90,0.30,1.20,0.20,0.30,0.10,0.30,0.40,0.30,0.10,0.10,0.20,0.312,0.123,0.207,0.112,0.204,0.229,0.116,0.181,0.170,0.090,0.090,0.097,0.114,0.17,0.09,0.98,0.28,0.62,0.09,0.27,0.06,0.19,0.47,0.35,0.11,0.09,0.07
A. pentaprion,female,57.49,14.22,10.76,7.50,15.80,14.60,11.22,1.20,3.38,46.63,13.23,7.67,5.6,12.76,11.63,9.75,1.13,1.88,1.10,0.10,8.00,1.20,6.00,1.20,0.50,1.80,1.50,4.50,1.20,0.50,0.50,1.90,0.333,0.193,0.285,0.212,0.270,0.264,0.143,0.219,0.215,0.212,0.128,0.167,0.183,0.35,0.05,2.98,0.6,2.36,0.48,0.37,0.87,0.74,2.25,0.99,0.32,0.29,0.5
A. equestris,female,126.13,42.10,24.15,19.21,44.56,40.12,32.98,4.44,7.14,133.34,43.71,25.32,17.13,43.09,38.84,34.26,4.26,4.58,25.60,4.10,98.20,29.90,94.60,13.10,10.80,11.30,15.90,38.50,50.90,2.00,6.30,,1.013,0.576,0.657,0.422,0.604,0.548,0.324,0.596,0.538,0.474,0.368,0.270,0.395,2.68,0.75,15.86,7.5,16.61,2.53,3.54,2.01,3.13,8.62,14.66,0.78,1.69,
A. carolinesis,female,45.36,12.98,7.20,5.30,14.48,12.79,8.36,1.69,4.43,51.77,14.95,7.95,5.66,15.46,14.11,11.68,1.34,2.43,1.00,0.20,0.23,0.30,2.40,0.20,0.20,0.30,0.90,0.80,1.20,0.10,0.20,,0.353,0.184,0.237,0.173,0.155,0.203,0.156,0.203,0.202,0.156,0.133,0.116,0.133,0.3,0.12,0.1,0.18,1.64,0.1,0.14,0.16,0.47,0.54,0.95,0.09,0.16,
